threads_per_socket, ordered_mean
1,13.028096,
2,6.878877,
3,4.854697,
4,3.812029,
5,3.215280,
6,2.821906,
7,2.527171,
8,2.305803,
9,2.143484,
10,1.956882,
11,1.875082,
12,1.756875,
