threads_per_socket, ordered_mean
1,23.025814,
2,11.595439,
3,7.795363,
4,5.887677,
5,4.713695,
6,3.949783,
7,3.408062,
8,2.988509,
9,2.685306,
10,2.427061,
11,2.224429,
12,2.092691,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
