threads_per_socket, ordered_mean
1,7.682546,
2,4.500246,
3,3.558091,
4,2.960157,
5,2.616955,
6,2.416001,
7,2.294247,
8,2.215917,
9,2.108891,
10,2.286391,
11,1.964973,
12,1.988302,
