size, procs, static_mean
15000,1,6.824452,
15000,2,3.478405,
15000,4,2.453013,
15000,6,1.655071,
15000,8,1.489368,
15000,10,1.403848,
15000,12,1.151258,
15000,14,1.060982,
15000,16,0.839721,
15000,18,0.987675,
15000,20,0.723890,
15000,22,0.888879,
15000,24,0.720398,
15000,26,0.757753,
15000,28,0.679881,
15000,30,0.681200,
15000,32,0.568050,
15000,34,0.560131,
15000,36,0.535383,
15000,38,0.550788,
15000,40,0.530218,
15000,42,0.537374,
15000,44,0.553447,
15000,46,0.538249,
15000,48,0.511535,
