size, procs, static_mean
25000,1,18.765878,
25000,2,9.468192,
25000,4,6.165917,
25000,6,4.513428,
25000,8,3.727752,
25000,10,3.503999,
25000,12,3.142782,
25000,14,2.952869,
25000,16,2.022726,
25000,18,2.576801,
25000,20,1.824128,
25000,22,2.288169,
25000,24,1.791672,
25000,26,1.622430,
25000,28,1.673421,
25000,30,1.582181,
25000,32,1.400079,
25000,34,1.350126,
25000,36,1.388754,
25000,38,1.223974,
25000,40,1.408232,
25000,42,1.395221,
25000,44,1.314858,
25000,46,1.311742,
25000,48,1.167964,
