size, procs, static_mean
35000,1,36.710097,
35000,2,18.448468,
35000,4,11.599469,
35000,6,9.280770,
35000,8,7.620696,
35000,10,6.616853,
35000,12,5.913894,
35000,14,5.385406,
35000,16,4.055527,
35000,18,4.792256,
35000,20,3.198929,
35000,22,4.349200,
35000,24,3.458391,
35000,26,3.264433,
35000,28,3.154825,
35000,30,3.063629,
35000,32,2.630386,
35000,34,2.486226,
35000,36,2.446814,
35000,38,2.325215,
35000,40,2.586206,
35000,42,2.522733,
35000,44,2.453036,
35000,46,2.356789,
35000,48,2.069068
