threads_per_socket, static_mean
1,6.511996,
2,4.095983,
3,3.146062,
4,2.683578,
5,2.492316,
6,2.301956,
7,2.168748,
8,2.124876,
9,2.078825,
10,1.987824,
11,1.958490,
12,1.921238,
