threads_per_socket, static_mean
1,18.772161,
2,9.684501,
3,6.602709,
4,5.087922,
5,4.158000,
6,3.572415,
7,3.129355,
8,2.770898,
9,2.493572,
10,2.305055,
11,2.136643,
12,2.019424,
