threads_per_socket, static_mean
1,7.763874,
2,4.580761,
3,3.561525,
4,2.945540,
5,2.648434,
6,2.496735,
7,2.239868,
8,2.203892,
9,2.085077,
10,2.095549,
11,1.976409,
12,1.946726,
