threads_per_socket, static_mean
1,9.403485,
2,4.913839,
3,3.362979,
4,2.604301,
5,2.147562,
6,1.831543,
7,1.613419,
8,1.438714,
9,1.311431,
10,1.202399,
11,1.131220,
12,1.052710,
